id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,tmdb_popularity,on_amazon,on_apple,on_disney,on_hbo,on_netflix,on_paramount
tm100746,Badmaash Company,MOVIE,2010,G,144,"['crime', 'drama', 'comedy']",['IN'],6.1,3.27,1.0,,,,,
tm100765,The Liberation of L.B. Jones,MOVIE,1970,R,102,"['drama', 'crime', 'romance']",['US'],6.8,2.453,1.0,,,,,
tm100776,Pray TV,MOVIE,1980,PG,86,['comedy'],['US'],5.0,2.107,1.0,,,,,
tm100783,The Bloody Judge,MOVIE,1970,PG,84,['horror'],"['IT', 'ES', 'DE', 'LI']",5.2,5.433,1.0,,,,,1.0
tm1008224,Daddy Issues,MOVIE,2020,,142,['comedy'],[],7.1,,1.0,,,,,
tm100826,Original Cast Album: Company,MOVIE,1970,PG,53,"['music', 'documentation']",['US'],8.1,3.009,,,,1.0,,
tm100859,Just Neighbors,MOVIE,1919,,10,['comedy'],['US'],,1.164,,,,1.0,,
tm10086,"Sammy, the Way-Out Seal",MOVIE,1962,G,88,['comedy'],['US'],,3.827,,,1.0,,,
tm1008661,Trying Grace,MOVIE,2021,,88,['drama'],[],,,1.0,,,,,
tm1008768,Grimy,MOVIE,2021,,122,"['drama', 'thriller', 'action']",[],5.8,0.723,1.0,,,,,
tm100879,Death Ship,MOVIE,1980,R,91,"['thriller', 'horror']","['GB', 'CA']",4.8,6.767,1.0,,,,,
tm100894,Tangled,MOVIE,2010,PG,100,"['animation', 'romance', 'comedy', 'family', 'fantasy']",['US'],7.7,100.872,,,1.0,,,
tm1008972,Love Lust and Money,MOVIE,2020,,79,['drama'],[],,,1.0,,,,,
tm1009257,Kadathal Kaaran,MOVIE,2020,PG,172,"['drama', 'music', 'romance', 'action']",[],,,1.0,,,,,
tm10094,Dangerous Charter,MOVIE,1962,,76,['thriller'],['US'],4.1,1.318,1.0,,,,,1.0
tm1009504,Speak or Be Silent,MOVIE,2021,,72,"['action', 'crime', 'drama']",[],,,1.0,,,,,
tm1009567,Balamitra,MOVIE,2021,,104,['thriller'],[],7.9,,1.0,,,,,
